parameters,selected
aspect,TRUE
elevation,TRUE
forest_agb.tif,FALSE
forest_basisdensity.tif,FALSE
forest_basisyear.tif,FALSE
forest_bgb.tif,FALSE
forest_carbon.tif,FALSE
forest_changeclass.tif,FALSE
forest_changeyod.tif,FALSE
forest_crowncoverage.tif,FALSE
forest_ecocondition.tif,FALSE
forest_forestmask2020.tif,FALSE
forest_forestmaskL81986.tif,FALSE
forest_indexfsi.tif,FALSE
forest_indexgini.tif,FALSE
forest_NATD1.tif,FALSE
forest_NATD6.tif,FALSE
forest_NATD7.tif,FALSE
forest_treeheight.tif,FALSE
land.tif,FALSE
precipitation,TRUE
slope,FALSE
soil_coarse_fraction,FALSE
soil_moisture,TRUE
soil_organic_carbon,FALSE
soil_ph,FALSE
solar_radiation,FALSE
temperature,TRUE
