species,taxonomicGroup,selected,threatened,commonName,redListStatus,functionalGroup
Alectoria_sarmentosa,fungi,FALSE,FALSE,Common witch’s-hair lichen,Least concern,NA
Bactrospora_corticola,fungi,FALSE,FALSE,Bactrospora corticola,Least concern,NA
Cuphophyllus_pratensis,fungi,FALSE,FALSE,Meadow waxcap,Least concern,NA
Cuphophyllus_virgineus,fungi,FALSE,FALSE,Snowy waxcap,Least concern,NA
Entoloma_neglectum,fungi,FALSE,TRUE,Entoloma neglectum,Vulnerable,NA
Hydnellum_martioflavum,fungi,FALSE,TRUE,Hydnellum martioflavum,Vulnerable,NA
Hygrocybe_conica,fungi,FALSE,FALSE,Witch's hat,Least concern,NA
Lecanactis_abietina,fungi,FALSE,FALSE,Old-wood lichen,Least concern,NA
Lobaria_pulmonaria,fungi,FALSE,FALSE,Tree lungwort,Least concern,NA
Niemelaea_consobrina,fungi,FALSE,TRUE,Niemelaea consobrina,Vulnerable,NA
Sclerophora_pallida,fungi,FALSE,FALSE,Sclerophora pallida,Least concern,NA
Anastrangalia_sanguinolenta,longhornBeetles,FALSE,FALSE,Blood-red longhorn beetle,Least concern,NA
Gaurotes_virginea,longhornBeetles,FALSE,FALSE,Gaurotes virginea,Least concern,conif
Oxymirus_cursor,longhornBeetles,FALSE,FALSE,Wood-boring beetle,Least concern,gen
Rhagium_inquisitor,longhornBeetles,FALSE,FALSE,Ribbed pine borer,Least concern,gen
Rhagium_mordax,longhornBeetles,FALSE,FALSE,Black-spotted longhorn beetle,Least concern,gen
Tetropium_castaneum,longhornBeetles,FALSE,FALSE,Brown spruce longhorn beetle,Least concern,conif
Arctosa_cinerea,spiders,FALSE,TRUE,Northern bear spider,Endangered,NA
Centromerus_arcanus,spiders,FALSE,FALSE,Centromerus arcanus,Least concern,NA
Diplocentria_bidentata,spiders,FALSE,FALSE,Diplocentria bidentata,Least concern,NA
Mitopus_morio,spiders,FALSE,FALSE,Saddleback harvestman,Least concern,NA
Psammitis_sabulosus,spiders,FALSE,TRUE,Sand crab-spider,Vulnerable,NA
Singa_nitidula,spiders,FALSE,TRUE,Singa nitidula,Endangered,NA
Tenuiphantes_alacris,spiders,FALSE,FALSE,Tenuiphantes alacris,Least concern,NA
Agrostis_capillaris,vascularPlants,FALSE,FALSE,Common bent,Least concern,NA
Betula_pubescens,vascularPlants,FALSE,FALSE,Silver birch,Least concern,NA
Geranium_sylvaticum,vascularPlants,FALSE,FALSE,Wood crane’s bill,Least concern,NA
Saxifraga_aizoides,vascularPlants,FALSE,FALSE,Yellow saxifrage,Least concern,NA
Vicia_sepium,vascularPlants,FALSE,FALSE,Bush vetch,Least concern,NA
Abraeus_parvulus,ForestBeetles,FALSE,NA,Abraeus parvulus,NA,NA
Acanthocinus_griseus,ForestBeetles,TRUE,TRUE,Acanthocinus griseus,Endangered,conif
Acmaeodera_degener,ForestBeetles,FALSE,NA,Acmaeodera degener,NA,NA
Acmaeops_marginatus,ForestBeetles,FALSE,TRUE,Acmaeops marginatus,Endangered,NA
Aegosoma_scabricorne,ForestBeetles,FALSE,NA,Aegosoma scabricorne,NA,NA
Aesalus_scarabaeoides,ForestBeetles,TRUE,NA,Aesalus scarabaeoides,NA,decid
Agnathus_decoratus,ForestBeetles,FALSE,NA,Agnathus decoratus,NA,NA
Akimerus_schaefferi,ForestBeetles,FALSE,NA,Akimerus schaefferi,NA,NA
Allecula_rhenana,ForestBeetles,TRUE,NA,Allecula rhenana,NA,decid
Alosterna_ingrica,ForestBeetles,FALSE,NA,Alosterna ingrica,NA,NA
Ampedus_auripes,ForestBeetles,FALSE,NA,Ampedus auripes,NA,NA
Ampedus_brunnicornis,ForestBeetles,FALSE,NA,Ampedus brunnicornis,NA,NA
Ampedus_cardinalis,ForestBeetles,TRUE,NA,Ampedus cardinalis,NA,decid
Ampedus_elegantulus,ForestBeetles,TRUE,NA,Ampedus elegantulus,NA,decid
Ampedus_hjorti,ForestBeetles,TRUE,TRUE,Ampedus hjorti,Vulnerable,decid
Ampedus_melanurus,ForestBeetles,FALSE,NA,Ampedus melanurus,NA,NA
Ampedus_quadrisignatus,ForestBeetles,FALSE,NA,Ampedus quadrisignatus,NA,NA
Ampedus_suecicus,ForestBeetles,TRUE,NA,Ampedus suecicus,NA,gen
Ampedus_tristis,ForestBeetles,TRUE,NA,Ampedus tristis,NA,gen
Anisoxya_fuscula,ForestBeetles,TRUE,TRUE,Anisoxya fuscula,Vulnerable,decid
Anitys_rubens,ForestBeetles,TRUE,NA,Anitys rubens,NA,decid
Batrisodes_hubenthali,ForestBeetles,FALSE,NA,Batrisodes hubenthali,NA,NA
Bibloporus_ultimus,ForestBeetles,FALSE,NA,Bibloporus ultimus,NA,NA
Bius_thoracicus,ForestBeetles,TRUE,TRUE,Bius thoracicus,Endangered,gen
Bolitochara_lucida,ForestBeetles,TRUE,NA,Bolitochara lucida,NA,decid
Bolitophagus_interruptus,ForestBeetles,FALSE,NA,Bolitophagus interruptus,NA,NA
Boros_schneideri,ForestBeetles,TRUE,NA,Boros schneideri,NA,gen
Brachygonus_ruficeps,ForestBeetles,FALSE,NA,Brachygonus ruficeps,NA,NA
Buprestis_splendens,ForestBeetles,TRUE,NA,Buprestis splendens,NA,conif
Calambus_bipustulatus,ForestBeetles,TRUE,TRUE,Calambus bipustulatus,Endangered,decid
Calitys_scabra,ForestBeetles,TRUE,TRUE,Calitys scabra,Vulnerable,gen
Camptorhinus_statua,ForestBeetles,FALSE,NA,Camptorhinus statua,NA,NA
Cardiophorus_gramineus,ForestBeetles,TRUE,NA,Cardiophorus gramineus,NA,decid
Cerambyx_cerdo,ForestBeetles,TRUE,NA,Cerambyx cerdo,NA,decid
Cerophytum_elateroides,ForestBeetles,FALSE,NA,Cerophytum elateroides,NA,NA
Ceruchus_chrysomelinus,ForestBeetles,TRUE,TRUE,Ceruchus chrysomelinus,Endangered,gen
Colydium_filiforme,ForestBeetles,TRUE,NA,Colydium filiforme,NA,decid
Cornumutila_lineata,ForestBeetles,FALSE,NA,Cornumutila lineata,NA,NA
Corticaria_interstitialis,ForestBeetles,TRUE,NA,Corticaria interstitialis,NA,gen
Corticaria_lapponica,ForestBeetles,TRUE,NA,Corticaria lapponica,NA,decid
Corticaria_lateritia,ForestBeetles,TRUE,NA,Corticaria lateritia,NA,conif
Corticaria_orbicollis,ForestBeetles,TRUE,NA,Corticaria orbicollis,NA,gen
Corticeus_bicoloroides,ForestBeetles,FALSE,NA,Corticeus bicoloroides,NA,NA
Corticeus_fasciatus,ForestBeetles,TRUE,NA,Corticeus fasciatus,NA,decid
Corticeus_suturalis,ForestBeetles,TRUE,NA,Corticeus suturalis,NA,conif
Corticeus_versipellis,ForestBeetles,FALSE,NA,Corticeus versipellis,NA,NA
Crepidophorus_mutilatus,ForestBeetles,FALSE,NA,Crepidophorus mutilatus,NA,NA
Cryptolestes_abietis,ForestBeetles,TRUE,NA,Cryptolestes abietis,NA,conif
Cryptophagus_confusus,ForestBeetles,TRUE,NA,Cryptophagus confusus,NA,gen
Cryptophagus_lysholmi,ForestBeetles,FALSE,NA,Cryptophagus lysholmi,NA,NA
Cryptophagus_quercinus,ForestBeetles,TRUE,NA,Cryptophagus quercinus,NA,decid
Cucujus_cinnaberinus,ForestBeetles,TRUE,TRUE,Red flat bark beetle,Near threatened,gen
Cucujus_haematodes,ForestBeetles,FALSE,NA,Cucujus haematodes,NA,NA
Dacne_notata,ForestBeetles,FALSE,NA,Dacne notata,NA,NA
Dacne_pontica,ForestBeetles,FALSE,NA,Dacne pontica,NA,NA
Danosoma_conspersum,ForestBeetles,TRUE,TRUE,Danosoma conspersum,Vulnerable,gen
Danosoma_fasciatum,ForestBeetles,TRUE,TRUE,Danosoma fasciatum,Endangered,gen
Denticollis_borealis,ForestBeetles,TRUE,TRUE,Denticollis borealis,Vulnerable,decid
Dermestoides_sanguinicollis,ForestBeetles,TRUE,NA,Dermestoides sanguinicollis,NA,gen
Derodontus_macularis,ForestBeetles,FALSE,NA,Derodontus macularis,NA,NA
Diacanthous_undulatus,ForestBeetles,FALSE,FALSE,Diacanthous undulatus,Least concern,NA
Dicerca_aenea,ForestBeetles,TRUE,NA,Dicerca aenea,NA,decid
Dicerca_alni,ForestBeetles,TRUE,NA,Dicerca alni,NA,decid
Dicerca_berolinensis,ForestBeetles,FALSE,NA,Dicerca berolinensis,NA,NA
Dicerca_furcata,ForestBeetles,TRUE,NA,Dicerca furcata,NA,gen
Dicerca_moesta,ForestBeetles,TRUE,TRUE,Dicerca moesta,Vulnerable,conif
Dircaea_australis,ForestBeetles,TRUE,NA,Dircaea australis,NA,decid
Dircaea_quadriguttata,ForestBeetles,FALSE,NA,Dircaea quadriguttata,NA,NA
Dirrhagofarsus_attenuatus,ForestBeetles,FALSE,NA,Dirrhagofarsus attenuatus,NA,NA
Ditylus_laevis,ForestBeetles,FALSE,NA,Ditylus laevis,NA,NA
Dolichocis_laricinus,ForestBeetles,FALSE,NA,Dolichocis laricinus,NA,NA
Dorcatoma_ambjoerni,ForestBeetles,TRUE,NA,Dorcatoma ambjoerni,NA,decid
Dorcatoma_flavicornis,ForestBeetles,TRUE,TRUE,Dorcatoma flavicornis,Endangered,decid
Dreposcia_umbrina,ForestBeetles,TRUE,NA,Dreposcia umbrina,NA,decid
Elater_ferrugineus,ForestBeetles,TRUE,TRUE,Rusty click beetle,Critically endangered,decid
Eledonoprius_armatus,ForestBeetles,TRUE,NA,Eledonoprius armatus,NA,decid
Endecatomus_reticulatus,ForestBeetles,FALSE,NA,Endecatomus reticulatus,NA,NA
Endophloeus_marcovichianus,ForestBeetles,FALSE,NA,Endophloeus marcovichianus,NA,NA
Enicmus_apicalis,ForestBeetles,TRUE,TRUE,Enicmus apicalis,Vulnerable,conif
Ennearthron_palmi,ForestBeetles,TRUE,NA,Ennearthron palmi,NA,decid
Epierus_comptus,ForestBeetles,FALSE,NA,Epierus comptus,NA,NA
Ernobius_explanatus,ForestBeetles,TRUE,NA,Ernobius explanatus,NA,conif
Ernobius_kiesenwetteri,ForestBeetles,FALSE,NA,Ernobius kiesenwetteri,NA,NA
Ernobius_laticollis,ForestBeetles,FALSE,NA,Ernobius laticollis,NA,NA
Euryommatus_mariae,ForestBeetles,FALSE,NA,Euryommatus mariae,NA,NA
Eurythyrea_austriaca,ForestBeetles,FALSE,NA,Eurythyrea austriaca,NA,NA
Eurythyrea_quercus,ForestBeetles,FALSE,NA,Eurythyrea quercus,NA,NA
Euryusa_coarctata,ForestBeetles,TRUE,NA,Euryusa coarctata,NA,decid
